Model,Dataset,Seed,Train_MAE,Train_RMSE,Train_IC,Train_RIC,Val_MAE,Val_RMSE,Val_IC,Val_RIC,Test_MAE,Test_RMSE,Test_IC,Test_RIC
LSTM,sp500_with_indicators,1,0.0080,0.0123,0.0070,-0.0189,0.0098,0.0129,0.0779,0.0518,0.0070,0.0093,0.0236,-0.0036
LSTM,sp500_with_indicators,2,0.0071,0.0116,0.0575,0.0992,0.0098,0.0130,0.0565,0.0354,0.0070,0.0093,0.0201,0.0171
LSTM,sp500_with_indicators,3,0.0076,0.0120,-0.0026,-0.0298,0.0098,0.0129,0.0903,0.0513,0.0070,0.0093,0.0179,0.0041
LSTM,sp500_with_indicators,4,0.0077,0.0121,0.0077,-0.0187,0.0098,0.0130,0.0630,0.0428,0.0070,0.0093,0.0258,0.0233
LSTM,sp500_with_indicators,5,0.0071,0.0116,0.0511,0.0420,0.0098,0.0129,0.0762,0.0563,0.0070,0.0093,0.0348,0.0331
LSTM,sp500_with_indicators_llm,1,0.0077,0.0120,-0.0045,-0.0284,0.0098,0.0129,0.0695,0.0496,0.0070,0.0093,0.0292,0.0112
LSTM,sp500_with_indicators_llm,2,0.0073,0.0118,-0.0009,0.0236,0.0098,0.0130,-0.0600,-0.0384,0.0069,0.0093,-0.0250,-0.0260
LSTM,sp500_with_indicators_llm,3,0.0071,0.0116,0.0409,0.0209,0.0098,0.0129,0.0627,0.0310,0.0070,0.0093,0.0353,0.0015
LSTM,sp500_with_indicators_llm,4,0.0071,0.0117,0.0033,-0.0208,0.0098,0.0130,0.0309,0.0244,0.0070,0.0093,0.0014,-0.0200
LSTM,sp500_with_indicators_llm,5,0.0081,0.0122,0.0092,0.0400,0.0098,0.0130,-0.0143,-0.0143,0.0071,0.0094,0.0128,0.0076
SAMBA,sp500_with_indicators,1,0.0103,0.0144,0.0032,-0.0230,0.0109,0.0141,-0.0298,-0.0288,0.0070,0.0093,0.0675,0.0787
SAMBA,sp500_with_indicators,2,0.0074,0.0119,0.0111,-0.0313,0.0098,0.0130,0.0560,0.0337,0.0072,0.0095,0.0334,0.0043
SAMBA,sp500_with_indicators,3,0.0078,0.0121,0.0530,0.0206,0.0099,0.0131,0.0297,0.0237,0.0076,0.0099,-0.0312,-0.0293
SAMBA,sp500_with_indicators,4,0.0075,0.0118,0.0462,-0.0231,0.0099,0.0131,-0.0164,-0.0474,0.0072,0.0094,-0.0189,-0.0533
SAMBA,sp500_with_indicators,5,0.0070,0.0115,0.1421,0.0574,0.0098,0.0130,-0.0801,-0.0673,0.0070,0.0093,0.0399,0.0402
SAMBA,sp500_with_indicators_llm,1,0.0082,0.0124,0.0091,-0.0123,0.0101,0.0132,-0.0725,-0.0799,0.0087,0.0114,0.0689,0.0813
SAMBA,sp500_with_indicators_llm,2,0.0078,0.0121,0.0407,0.0398,0.0101,0.0132,0.0765,0.0605,0.0073,0.0096,-0.0225,-0.0359
SAMBA,sp500_with_indicators_llm,3,0.0073,0.0117,0.0701,0.0302,0.0098,0.0129,0.0527,0.0392,0.0072,0.0096,-0.0467,-0.0399
SAMBA,sp500_with_indicators_llm,4,0.0078,0.0120,0.0412,0.0521,0.0104,0.0137,0.0469,0.0854,0.0083,0.0105,0.0221,-0.0275
SAMBA,sp500_with_indicators_llm,5,0.0073,0.0117,0.0950,0.0487,0.0098,0.0130,0.0506,0.0556,0.0071,0.0094,-0.0718,-0.0823
